"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2021-04-06T09:24:55.7669833+03:00[Europe/Bucharest]","0.0","27.99"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-04-06T09:25:24.4533653+03:00[Europe/Bucharest]","0.0","0.4"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2021-04-06T09:25:25.0498043+03:00[Europe/Bucharest]","0.0","16.22"
"Search by keyword story parametrized","Searching by keyword should display the corresponding article","FAILURE","2021-04-06T10:03:32.6561412+03:00[Europe/Bucharest]","0.0","82.81"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2021-05-09T19:27:26.822243+03:00[Europe/Bucharest]","0.0","31.0"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-09T19:27:59.459646+03:00[Europe/Bucharest]","0.0","0.75"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2021-05-09T19:28:01.982749+03:00[Europe/Bucharest]","0.0","6.59"
