"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story parametrized","Searching by keyword should display the corresponding article","FAILURE","2021-04-06T10:03:32.6561412+03:00[Europe/Bucharest]","0.0","82.81"
"Login app","Perform login","FAILURE","2021-05-14T16:53:28.871655+03:00[Europe/Bucharest]","0.0","16.2"
