"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story parametrized","Searching by keyword should display the corresponding article","FAILURE","2021-04-06T10:03:32.6561412+03:00[Europe/Bucharest]","0.0","82.81"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2021-05-14T16:23:52.787446+03:00[Europe/Bucharest]","0.0","9.44"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-14T16:24:03.051125+03:00[Europe/Bucharest]","0.0","0.81"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2021-05-14T16:24:04.954843+03:00[Europe/Bucharest]","0.0","4.91"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2021-05-14T16:38:44.80139+03:00[Europe/Bucharest]","0.0","21.91"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-14T16:39:08.947382+03:00[Europe/Bucharest]","0.0","1.04"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2021-05-14T16:39:10.434066+03:00[Europe/Bucharest]","0.0","6.94"
"Login app","Perform login","FAILURE","2021-05-14T16:53:28.871655+03:00[Europe/Bucharest]","0.0","16.2"
